"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17405","Realizar cadastro com sucesso","","2026-07-23","passed","2026-07-23","","Cadastro de usuário","Realizar cadastro com sucesso",""
"","2582","Tentar realizar checkout sem possuir produtos no carrinho","","2026-07-23","passed","2026-07-23","","Validação negativa do checkout","Tentar realizar checkout sem possuir produtos no carrinho",""
"","3098","Realizar login com sucesso","","2026-07-23","passed","2026-07-23","","Login","Realizar login com sucesso",""
"","24947","Finalizar compra com sucesso","","2026-07-23","passed","2026-07-23","","Checkout de Produto","Finalizar compra com sucesso",""
"","3819","Realizar logout com sucesso","","2026-07-23","passed","2026-07-23","","Login","Realizar logout com sucesso",""
"","3985","Buscar produto inexistente","","2026-07-23","passed","2026-07-23","","Compra de Produto","Buscar produto inexistente",""
"","8549","Tentar realizar checkout sem aceitar os termos de serviço","","2026-07-23","passed","2026-07-23","","Validação negativa do checkout","Tentar realizar checkout sem aceitar os termos de serviço",""
"","2448","Tentar cadastrar usuário sem preencher campos obrigatórios","","2026-07-23","passed","2026-07-23","","Cadastro de usuário","Tentar cadastrar usuário sem preencher campos obrigatórios",""
"","3709","Tentar cadastrar usuário com e-mail já existente","","2026-07-23","passed","2026-07-23","","Cadastro de usuário","Tentar cadastrar usuário com e-mail já existente",""
"","2553","Tentar realizar login com campos vazios","","2026-07-23","passed","2026-07-23","","Login","Tentar realizar login com campos vazios",""
"","10282","Avançar para o checkout com sucesso","","2026-07-23","passed","2026-07-23","","Checkout de Produto","Avançar para o checkout com sucesso",""
"","2884","Realizar login com credenciais inválidas","","2026-07-23","passed","2026-07-23","","Login","Realizar login com credenciais inválidas",""
"","8981","Realizar compra com sucesso","","2026-07-23","passed","2026-07-23","","Compra de Produto","Realizar compra com sucesso",""
