"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Checkout de Produto","0","0","Finalizar compra com sucesso","0"
"0","","0","Checkout de Produto","1","0","Avançar para o checkout com sucesso","0"
"0","","0","Login","1","0","Realizar logout com sucesso","0"
"0","","0","Cadastro de usuário","1","0","Tentar cadastrar usuário com e-mail já existente","0"
"0","","0","Login","1","0","Tentar realizar login com campos vazios","0"
"0","","0","Login","1","0","Realizar login com sucesso","0"
"0","","0","Login","1","0","Realizar login com credenciais inválidas","0"
"0","","0","Compra de Produto","1","0","Realizar compra com sucesso","0"
"0","","0","Validação negativa do checkout","1","0","Tentar realizar checkout sem possuir produtos no carrinho","0"
"0","","0","Cadastro de usuário","1","0","Tentar cadastrar usuário sem preencher campos obrigatórios","0"
"0","","0","Compra de Produto","1","0","Buscar produto inexistente","0"
"0","","0","Cadastro de usuário","1","0","Realizar cadastro com sucesso","0"
"0","","0","Validação negativa do checkout","1","0","Tentar realizar checkout sem aceitar os termos de serviço","0"
