"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3988","Buscar produto inexistente","","2026-07-29","passed","2026-07-29","","Compra de Produto","Buscar produto inexistente",""
"","2779","Tentar cadastrar usuário sem preencher campos obrigatórios","","2026-07-29","passed","2026-07-29","","Cadastro de usuário","Tentar cadastrar usuário sem preencher campos obrigatórios",""
"","2728","Tentar realizar login com campos vazios","","2026-07-29","passed","2026-07-29","","Login","Tentar realizar login com campos vazios",""
"","188","deveCriarProduto()","","2026-07-29","passed","2026-07-29","","br.com.ezequias.automacao.api.ProductApiTest","br.com.ezequias.automacao.api.ProductApiTest","deveCriarProduto"
"","3252","Realizar login com sucesso","","2026-07-29","passed","2026-07-29","","Login","Realizar login com sucesso",""
"","733","deveValidarContratoDoProduto()","","2026-07-29","passed","2026-07-29","","br.com.ezequias.automacao.api.ProductApiTest","br.com.ezequias.automacao.api.ProductApiTest","deveValidarContratoDoProduto"
"","10556","Avançar para o checkout com sucesso","","2026-07-29","passed","2026-07-29","","Checkout de Produto","Avançar para o checkout com sucesso",""
"","4067","Realizar logout com sucesso","","2026-07-29","passed","2026-07-29","","Login","Realizar logout com sucesso",""
"","2726","Tentar realizar checkout sem possuir produtos no carrinho","","2026-07-29","passed","2026-07-29","","Validação negativa do checkout","Tentar realizar checkout sem possuir produtos no carrinho",""
"","9552","Tentar realizar checkout sem aceitar os termos de serviço","","2026-07-29","passed","2026-07-29","","Validação negativa do checkout","Tentar realizar checkout sem aceitar os termos de serviço",""
"","3837","Tentar cadastrar usuário com e-mail já existente","","2026-07-29","passed","2026-07-29","","Cadastro de usuário","Tentar cadastrar usuário com e-mail já existente",""
"","25416","Finalizar compra com sucesso","","2026-07-29","passed","2026-07-29","","Checkout de Produto","Finalizar compra com sucesso",""
"","44978","Realizar cadastro com sucesso","","2026-07-29","passed","2026-07-29","","Cadastro de usuário","Realizar cadastro com sucesso",""
"","3229","Realizar login com credenciais inválidas","","2026-07-29","passed","2026-07-29","","Login","Realizar login com credenciais inválidas",""
"","218","deveBuscarTodosOsProdutos()","","2026-07-29","passed","2026-07-29","","br.com.ezequias.automacao.api.ProductApiTest","br.com.ezequias.automacao.api.ProductApiTest","deveBuscarTodosOsProdutos"
"","8708","Realizar compra com sucesso","","2026-07-29","passed","2026-07-29","","Compra de Produto","Realizar compra com sucesso",""
"","2374","deveBuscarProdutoPorId()","","2026-07-29","passed","2026-07-29","","br.com.ezequias.automacao.api.ProductApiTest","br.com.ezequias.automacao.api.ProductApiTest","deveBuscarProdutoPorId"
